# Compound_CID,SMILES
6540466,C1=C(N=C(S1)N)/C(=N/OCC(=O)O)/C(=O)N[C@H]2[C@H](N(C2=O)S(=O)(=O)O)COC(=O)N
6321416,CC(OC(=O)C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/C3=CC=CO3)COC(=O)N
57514685,CCO/N=C(/C1=NSC(=N1)NP(=O)(O)[O-])\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)O
5361871,CC1=C(SC(=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O)CC(=O)O
10695961,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+]
5748845,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=C(N4CCO)N)C(=O)[O-]
73415797,[H+].CC(C)(C(=O)[O-])O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-].O.O.O.O.O
73415817,[H+].CC(C)(C(=O)[O-])O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
5904,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
11953897,CN1N=C(C(=O)N=C1SCC2=C(N3C(=O)[C@H]([C@H]3SC2)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)C(=O)[O-])[O-].CN1N=C(C(=O)N=C1SCC2=C(N3C(=O)[C@H]([C@H]3SC2)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)C(=O)[O-])[O-].O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+]
